present,rt,correct,confidence
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,58,1,0.898127664917772
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,16,0,0.872676045467722
-1,12,1,0.887174877055925
-1,41,0,0.909125785819664
-1,12,1,0.887174877055925
-1,67,1,0.89707136234818
-1,48,1,0.882491020349575
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,7,0,0.871393627538946
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,14,0,0.906236976023748
-1,34,0,0.875208123815924
-1,6,0,0.889455143239825
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,33,0,0.892799834296775
-1,39,1,0.883677550873442
-1,21,0,0.932372838526117
-1,7,0,0.871393627538946
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,39,1,0.883677550873442
-1,30,1,0.884853663814323
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,10,0,0.950543070036901
-1,30,1,0.884853663814323
-1,39,1,0.883677550873442
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,6,0,0.889455143239825
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,16,0,0.872676045467722
-1,4,0,0.919003814224815
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,48,1,0.882491020349575
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,58,1,0.898127664917772
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,4,0,0.919003814224815
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,48,1,0.882491020349575
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,48,1,0.882491020349575
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,4,0,0.919003814224815
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,4,0,0.919003814224815
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,94,1,0.893844098276513
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,33,0,0.892799834296775
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,5,0,0.905255887837558
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,58,0,0.923990400614355
-1,21,1,0.886019419123261
-1,21,0,0.932372838526117
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,4,0,0.919003814224815
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,5,0,0.905255887837558
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,58,1,0.898127664917772
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,4,0,0.919003814224815
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,5,0,0.905255887837558
-1,12,1,0.887174877055925
-1,25,0,0.873947525409702
-1,12,1,0.887174877055925
-1,16,0,0.872676045467722
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,48,1,0.882491020349575
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,48,1,0.882491020349575
-1,5,0,0.905255887837558
-1,48,1,0.882491020349575
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,4,0,0.919003814224815
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,0,0.931644595204746
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,39,1,0.883677550873442
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,3,0,0.930909090909091
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,7,0,0.871393627538946
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,6,0,0.889455143239825
-1,5,0,0.905255887837558
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,58,1,0.898127664917772
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,15,0,0.890580073378812
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,4,0,0.919003814224815
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,5,0,0.905255887837558
-1,14,0,0.906236976023748
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,6,0,0.889455143239825
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,0,0.931644595204746
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,48,1,0.882491020349575
-1,39,1,0.883677550873442
-1,15,0,0.890580073378812
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,2,0,0.941176470588235
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,40,0,0.92236032845751
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,14,0,0.906236976023748
-1,13,0,0.919855144438911
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,5,0,0.905255887837558
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,76,1,0.896005375314281
-1,12,1,0.887174877055925
-1,48,1,0.882491020349575
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,7,0,0.871393627538946
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,12,0,0.931644595204746
-1,7,0,0.871393627538946
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,30,0,0.933093880484944
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,11,0,0.941809506263801
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,58,1,0.898127664917772
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,23,0,0.907208946262668
-1,21,1,0.886019419123261
-1,7,0,0.871393627538946
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,2,0,0.941176470588235
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,42,0,0.893894788359894
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,5,0,0.905255887837558
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,48,1,0.882491020349575
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,6,0,0.889455143239825
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,6,0,0.889455143239825
-1,21,1,0.886019419123261
-1,39,1,0.883677550873442
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,85,1,0.894929641383777
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,76,1,0.896005375314281
-1,30,1,0.884853663814323
-1,39,1,0.883677550873442
-1,4,0,0.919003814224815
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,52,0,0.877696904120363
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,7,0,0.871393627538946
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,11,0,0.941809506263801
-1,58,1,0.898127664917772
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,31,0,0.921533339284579
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,6,0,0.889455143239825
-1,12,1,0.887174877055925
-1,16,0,0.872676045467722
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,3,0,0.930909090909091
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,4,0,0.919003814224815
-1,12,1,0.887174877055925
-1,34,0,0.875208123815924
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,7,0,0.871393627538946
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,6,0,0.889455143239825
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,23,0,0.907208946262668
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,0,0.931644595204746
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,18,0,0.958483994946843
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,4,0,0.919003814224815
-1,30,1,0.884853663814323
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,7,0,0.871393627538946
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,6,0,0.889455143239825
-1,21,1,0.886019419123261
-1,15,0,0.890580073378812
-1,21,1,0.886019419123261
-1,12,0,0.931644595204746
-1,12,1,0.887174877055925
-1,20,0,0.942436146120727
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,5,0,0.905255887837558
-1,12,1,0.887174877055925
-1,24,0,0.891694949885395
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,7,0,0.871393627538946
-1,12,1,0.887174877055925
-1,39,1,0.883677550873442
-1,12,1,0.887174877055925
-1,22,0,0.920698298679827
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,30,1,0.884853663814323
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,48,1,0.882491020349575
-1,12,1,0.887174877055925
-1,14,0,0.906236976023748
-1,4,0,0.919003814224815
-1,21,1,0.886019419123261
-1,6,0,0.889455143239825
-1,21,1,0.886019419123261
-1,25,0,0.873947525409702
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,15,0,0.890580073378812
-1,85,1,0.894929641383777
-1,30,1,0.884853663814323
-1,30,1,0.884853663814323
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,30,1,0.884853663814323
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,16,0,0.872676045467722
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,4,0,0.919003814224815
-1,12,1,0.887174877055925
-1,21,1,0.886019419123261
-1,12,1,0.887174877055925
